session,prey_transect_id,date_site,site,prey_date,prey_surveyor,prey_depth_m,prey_vis_m,prey_time,prey_temp_C,prey_habitat,prey_cloud,prey_tran_length_m,prey_tran_width_m,prey_tran_area,transect orientation (Deep 1/Deep 2/Shallow 1/Shallow 2),notes
141,9806,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,LA,18,15,1450,86,Patch,,12,2,24,SW,
141,9807,2014-09-16_BISC-P12a,BISC-P12a,2014-09-16,LA,11,12,1503,86,Patch,,12,2,24,NW,
142,9804,2014-09-16_BISC-P13a,BISC-P13a,2014-09-16,LA,24,25,1324,88,Patch,,30,2,60,NW,
142,9805,2014-09-16_BISC-P13a,BISC-P13a,2014-09-16,LA,8,88,1337,88,Patch,,30,2,60,NW,
143,9802,2014-09-16_BISC-W30a,BISC-W30a,2014-09-16,LA,30,35,1148,86,Continuous,NA,20,2,40,NE,
143,9803,2014-09-16_BISC-W30a,BISC-W30a,2014-09-16,LA,31,35,1203,86,Continuous,NA,20,2,40,SE,
143,9497,2014-09-16_BISC-W30a,BISC-W30a,2014-09-16,Steph,8.3,10,1147,30.5,continuous,0,20,2,40,deep #1,
143,9498,2014-09-16_BISC-W30a,BISC-W30a,2014-09-16,Steph,8.2,10,1200,30.4,continuous,0,20,2,40,deep #2,
144,9800,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,LA,56,30,1020,86,Continuous,,20,2,40,NE,
144,9801,2014-09-16_BISC-W40-b,BISC-W40-b,2014-09-16,LA,52,30,1030,86,Continuous,,20,2,40,SE,
145,9814,2014-09-17_BISC-P11a,BISC-P11a,2014-09-17,LA,15,15,1557,86,Patch,,15,2,30,SW,
145,9815,2014-09-17_BISC-P11a,BISC-P11a,2014-09-17,LA,14,15,1608,86,Patch,,15,2,30,NW,
146,9812,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,LA,17,30,1420,86,Patch,,30,2,60,SW,
146,9813,2014-09-17_BISC-P15a,BISC-P15a,2014-09-17,LA,16,25,1436,86,Patch,,30,2,60,NW,
147,9808,2014-09-17_BISC-W12,BISC-W12,2014-09-17,LA,59,60,1025,86,Continuous,,20,2,40,NW,
147,9809,2014-09-17_BISC-W12,BISC-W12,2014-09-17,LA,59,50,1058,86,Continuous,,20,2,40,SW,
148,9810,2014-09-17_BISC-W13,BISC-W13,2014-09-17,LA,57,50,1241,86,Continuous,,20,2,40,SE,
148,9811,2014-09-17_BISC-W13,BISC-W13,2014-09-17,LA,57,60,1228,86,Continuous,,20,2,40,NE,
149,9820,2014-09-18_BISC-P7a,BISC-P7a,2014-09-18,LA,14,20,1355,86,Patch,,20,2,40,SE,
149,9821,2014-09-18_BISC-P7a,BISC-P7a,2014-09-18,LA,8,15,1416,86,Patch,,20,2,40,NE,
150,9822,2014-09-18_BISC-P9a,BISC-P9a,2014-09-18,LA,15,15,1539,86,Patch,,20,2,40,SW,
150,9823,2014-09-18_BISC-P9a,BISC-P9a,2014-09-18,LA,9,20,1556,86,Patch,,20,2,40,NW,
151,9818,2014-09-18_BISC-W60-2b,BISC-W60-2b,2014-09-18,LA,63,40,1221,82,Continuous,,20,2,40,NE,
151,9819,2014-09-18_BISC-W60-2b,BISC-W60-2b,2014-09-18,LA,62,35,1235,82,Continuous,,20,2,40,SE,
152,9816,2014-09-18_BISC-W60-6d,BISC-W60-6d,2014-09-18,LA,56,30,1016,84,Continuous,,20,2,40,NW,
152,9817,2014-09-18_BISC-W60-6d,BISC-W60-6d,2014-09-18,LA,49,30,1028,84,Continuous,,20,2,40,SW,
153,9830,2014-09-19_BISC-P10a,BISC-P10a,2014-09-19,LA,28,20,1600,86,Patch,,20,2,40,NW,
153,9831,2014-09-19_BISC-P10a,BISC-P10a,2014-09-19,LA,20,20,1617,86,Patch,,20,2,40,SW,
154,9828,2014-09-19_BISC-P14a,BISC-P14a,2014-09-19,LA,10,25,1425,86,Patch,,20,2,40,SW,
154,9829,2014-09-19_BISC-P14a,BISC-P14a,2014-09-19,LA,8,25,1445,86,Patch,,20,2,40,NW,
155,9824,2014-09-19_BISC-W60-11c,BISC-W60-11c,2014-09-19,LA,54,40,1035,86,Continuous,,20,2,40,NE,
155,9825,2014-09-19_BISC-W60-11c,BISC-W60-11c,2014-09-19,LA,51,40,1047,86,Continuous,,20,2,40,SE,
156,9826,2014-09-19_BISC-W60-4b,BISC-W60-4b,2014-09-19,LA,52,45,1252,86,Continuous,,20,2,40,NW,
156,9827,2014-09-19_BISC-W60-4b,BISC-W60-4b,2014-09-19,LA,52,45,1309,86,Continuous,,20,2,40,SW,
157,9524,2014-09-22_Dixie Ledge,Dixie Ledge,2014-09-22,Steph,15.8,15,932,31.1,continuous,90,20,2,40,shallow #1,
157,9525,2014-09-22_Dixie Ledge,Dixie Ledge,2014-09-22,Steph,15.6,20,950,31,continuous,90,20,2,40,shallow #2,
157,9832,2014-09-22_Dixie Ledge,Dixie Ledge,2014-09-22,LA,57,40,932,86,Continuous,,20,2,40,NE,
157,9833,2014-09-22_Dixie Ledge,Dixie Ledge,2014-09-22,LA,56,40,1040,86,Continuous,,20,2,40,SE,
158,9840,2014-09-22_KL-P6,KL-P6,2014-09-22,LA,23,20,1512,84,Patch,,8,2,16,NW,
158,9841,2014-09-22_KL-P6,KL-P6,2014-09-22,LA,18,20,1522,86,Patch,,8,2,16,SW,
158,9532,2014-09-22_KL-P6,KL-P6,2014-09-22,Steph,6.8,10,1511,30.2,patch,100,8,2,16,offshore #1,
158,9533,2014-09-22_KL-P6,KL-P6,2014-09-22,Steph,5.8,10,1522,30.5,patch,100,8,2,16,offshore #2,
159,9838,2014-09-22_KL-P7,KL-P7,2014-09-22,LA,19,15,1420,84,Patch,,10,2,20,SW,
159,9839,2014-09-22_KL-P7,KL-P7,2014-09-22,LA,13,20,1431,84,Patch,,10,2,20,NW,
159,9530,2014-09-22_KL-P7,KL-P7,2014-09-22,Steph,6.1,10,1419,30.5,patch,100,10,2,20,offshore #1,
159,9531,2014-09-22_KL-P7,KL-P7,2014-09-22,Steph,4.1,12,1433,30.6,patch,100,10,2,20,offshore #2,
160,9836,2014-09-22_KL-P8,KL-P8,2014-09-22,LA,10,20,1321,86,Patch,,25,2,50,NW,
160,9837,2014-09-22_KL-P8,KL-P8,2014-09-22,LA,10,20,1339,84,Patch,,25,2,50,SW,
160,9528,2014-09-22_KL-P8,KL-P8,2014-09-22,Steph,8.5,15,1320,30.6,patch,100,25,2,50,offshore #1,
160,9529,2014-09-22_KL-P8,KL-P8,2014-09-22,Steph,3.5,12,1333,30.5,patch,100,25,2,50,offshore #2,
161,9834,2014-09-22_KL-W7,KL-W7,2014-09-22,LA,51,60,1137,86,Continuous,,20,2,40,NW,
161,9835,2014-09-22_KL-W7,KL-W7,2014-09-22,LA,51,60,1158,86,Continuous,,20,2,40,SW,
161,9526,2014-09-22_KL-W7,KL-W7,2014-09-22,Steph,17.4,25,1137,31.1,continuous,100,20,2,40,deep #1,
161,9527,2014-09-22_KL-W7,KL-W7,2014-09-22,Steph,17,25,1152,31,continuous,100,20,2,40,deep #2,
162,9846,2014-09-24_DANGER 88,DANGER 88,2014-09-24,LA,8,8,1335,84,Patch,,8,2,16,SW,
162,9847,2014-09-24_DANGER 88,DANGER 88,2014-09-24,LA,8,8,1342,84,Patch,,8,2,16,NW,
162,9538,2014-09-24_DANGER 88,DANGER 88,2014-09-24,Steph,2.6,5,1333,29,patch,70,7,2,14,off #1,
162,9539,2014-09-24_DANGER 88,DANGER 88,2014-09-24,Steph,2.6,5,,29,patch,70,7,2,14,off #2,
163,9540,2014-09-24_KL-30,KL-30,2014-09-24,Steph,3.9,4.5,1427,29.6,patch,40,30,2,60,offshore #1,
163,9541,2014-09-24_KL-30,KL-30,2014-09-24,Steph,3.2,4,1458,29.6,patch,40,30,2,60,offshore #2,
164,9542,2014-09-24_KL-P4,KL-P4,2014-09-24,Steph,5,4,1612,30.2,patch,30,10,2,20,Inshore #1,
164,9543,2014-09-24_KL-P4,KL-P4,2014-09-24,Steph,4.3,4,1623,29.8,patch,30,10,2,20,Inshore #2,
165,9842,2014-09-24_KL-W2,KL-W2,2014-09-24,LA,52,60,952,84,Continuous,,20,2,40,SW,
165,9843,2014-09-24_KL-W2,KL-W2,2014-09-24,LA,46,60,1003,84,Continuous,,20,2,40,NW,
165,9534,2014-09-24_KL-W2,KL-W2,2014-09-24,Steph,18.5,25,950,30.2,continuous,100,20,2,40,deep #1,
165,9535,2014-09-24_KL-W2,KL-W2,2014-09-24,Steph,19.4,25,1005,30.2,continuous,100,20,2,40,deep #2,
166,9844,2014-09-24_KL-W8,KL-W8,2014-09-24,LA,57,80,1155,86,Continuous,,20,2,40,NE,
166,9845,2014-09-24_KL-W8,KL-W8,2014-09-24,LA,60,80,1211,86,Continuous,,20,2,40,SE,
166,9536,2014-09-24_KL-W8,KL-W8,2014-09-24,Steph,15.8,25,1157,30.4,continuous,90,20,2,40,shallow #1,
166,9537,2014-09-24_KL-W8,KL-W8,2014-09-24,Steph,16.5,25,1216,30.4,continuous,,20,2,40,shallow #2,
168,9874,2014-09-25_KL-P11,KL-P11,2014-09-25,LA,10,10,1632,84,Patch,,15,2,30,SE,
168,9875,2014-09-25_KL-P11,KL-P11,2014-09-25,LA,10,8,1619,84,Patch,,15,2,30,NE,
168,9552,2014-09-25_KL-P11,KL-P11,2014-09-25,Steph,3.2,4,1615,29.5,patch,80,15,2,30,Inshore #1,
168,9553,2014-09-25_KL-P11,KL-P11,2014-09-25,Steph,2.8,4,1629,29.3,patch,80,15,2,30,In #2,
169,9876,2014-09-25_KL-P13,KL-P13,2014-09-25,LA,10,17,1517,84,Patch,,25,2,50,SE,
169,9877,2014-09-25_KL-P13,KL-P13,2014-09-25,LA,11,17,1500,84,Patch,,25,2,50,NE,
169,9550,2014-09-25_KL-P13,KL-P13,2014-09-25,Steph,3.5,5,1458,29.2,patch,80,25,2,50,Inshore #1,
169,9551,2014-09-25_KL-P13,KL-P13,2014-09-25,Steph,3.3,5,1517,29.3,patch,70,25,2,50,Inshore #2,
170,9878,2014-09-25_KL-P14,KL-P14,2014-09-25,LA,12,15,1358,84,Patch,,12,2,24,SE,
170,9879,2014-09-25_KL-P14,KL-P14,2014-09-25,LA,13,15,1348,84,Patch,,12,2,24,NE,
170,9548,2014-09-25_KL-P14,KL-P14,2014-09-25,Steph,4.5,5,1349,29.4,patch,100,15,2,30,Inshore #1,
170,9549,2014-09-25_KL-P14,KL-P14,2014-09-25,Steph,3.8,4,1400,29.3,patch,100,15,2,30,Inshore #2,
171,9880,2014-09-25_KL-W11,KL-W11,2014-09-25,LA,41,60,1212,84,Continuous,,20,2,40,SW,
171,9881,2014-09-25_KL-W11,KL-W11,2014-09-25,LA,40,60,1158,84,Continuous,,20,2,40,NW,
171,9546,2014-09-25_KL-W11,KL-W11,2014-09-25,Steph,13.4,20,1157,30.2,continuous,70,20,2,40,deep #1,
171,9547,2014-09-25_KL-W11,KL-W11,2014-09-25,Steph,13.9,20,1212,30.1,continuous,70,20,2,40,deep #2,
172,9870,2014-09-26_KL-W12,KL-W12,2014-09-26,LA,57,60,1148,86,Continuous,,20,2,40,SE,
172,9871,2014-09-26_KL-W12,KL-W12,2014-09-26,LA,54,60,1135,86,Continuous,,20,2,40,NE,
172,9556,2014-09-26_KL-W12,KL-W12,2014-09-26,Steph,16.4,20,1136,16.3,continuous,70,20,2,40,shallow #1,
172,9557,2014-09-26_KL-W12,KL-W12,2014-09-26,Steph,16.4,20,1147,30.1,continuous,,20,2,40,shallow #2,
173,9872,2014-09-26_KL-W13,KL-W13,2014-09-26,LA,48,40,1016,82,Continuous,,20,2,40,SW,
173,9873,2014-09-26_KL-W13,KL-W13,2014-09-26,LA,45,40,954,84,Continuous,,20,2,40,NW,
173,9554,2014-09-26_KL-W13,KL-W13,2014-09-26,Steph,15.6,25,955,30,continuous,90,20,2,40,deep #1,
173,9555,2014-09-26_KL-W13,KL-W13,2014-09-26,Steph,16.4,25,1022,30,continuous,90,20,2,40,deep #2,
174,9568,2014-09-28_FKSP1,FKSP1,2014-09-28,Steph,4.4,4,1636,30.9,patch,60,7,2,14,Inshore #1,
174,9569,2014-09-28_FKSP1,FKSP1,2014-09-28,Steph,4.4,4,,30.9,patch,60,7,2,14,Inshore #2,
175,9864,2014-09-28_Ten 2A,Ten 2A,2014-09-28,LA,30,60,1513,86,Continuous,,20,2,40,SE,
175,9865,2014-09-28_Ten 2A,Ten 2A,2014-09-28,LA,32,60,1450,84,Continuous,,20,2,40,NE,
175,9566,2014-09-28_Ten 2A,Ten 2A,2014-09-28,Steph,9.6,20,1449,30.5,continuous,60,20,2,40,W #1,
175,9567,2014-09-28_Ten 2A,Ten 2A,2014-09-28,Steph,9.4,20,1512,30.5,continuous,60,20,2,40,W #2,
176,9866,2014-09-28_Ten 3A,Ten 3A,2014-09-28,LA,32,50,1316,86,Continuous,,20,2,40,SE,
176,9867,2014-09-28_Ten 3A,Ten 3A,2014-09-28,LA,31,60,1257,86,Continuous,,20,2,40,NE,
176,9564,2014-09-28_Ten 3A,Ten 3A,2014-09-28,Steph,10,20,1300,30.5,continuous,40,20,2,40,West #1,
176,9565,2014-09-28_Ten 3A,Ten 3A,2014-09-28,Steph,9.2,20,1316,30.5,continuous,40,20,2,40,W #2,
177,9868,2014-09-28_Ten 5A,Ten 5A,2014-09-28,LA,30,60,1119,86,Continuous,,20,2,40,SE,
177,9869,2014-09-28_Ten 5A,Ten 5A,2014-09-28,LA,30,60,1103,86,Continuous,,20,2,40,NE,
177,9562,2014-09-28_Ten 5A,Ten 5A,2014-09-28,Steph,8.3,20,1102,31.1,continuous,60,20,2,40,West #1,
177,9563,2014-09-28_Ten 5A,Ten 5A,2014-09-28,Steph,9.9,20,1121,30.6,continuous,60,20,2,40,West #2,
178,9518,2014-09-29_Conch 3A,Conch 3A,2014-09-29,Steph,15.2,25,1009,30.8,continuous,30,20,2,40,SW #1,
178,9519,2014-09-29_Conch 3A,Conch 3A,2014-09-29,Steph,13.3,25,1031,30.7,continuous,30,20,2,40,SW #2,
178,9862,2014-09-29_Conch 3A,Conch 3A,2014-09-29,LA,45,80,1029,86,Continuous,,20,2,40,SW,
178,9863,2014-09-29_Conch 3A,Conch 3A,2014-09-29,LA,47,80,1008,86,Continuous,,20,2,40,NW,
179,9520,2014-09-29_Conch 4B,Conch 4B,2014-09-29,Steph,13.8,25,1203,30.7,continuous,30,20,2,40,E #1,
179,9521,2014-09-29_Conch 4B,Conch 4B,2014-09-29,Steph,13.3,25,1222,30.6,continuous,30,20,2,40,E #2,
179,9860,2014-09-29_Conch 4B,Conch 4B,2014-09-29,LA,42,80,1216,86,Continuous,,20,2,40,NW,
179,9861,2014-09-29_Conch 4B,Conch 4B,2014-09-29,LA,43,80,1204,86,Continuous,,20,2,40,SE,
180,9522,2014-09-29_Conch 6A,Conch 6A,2014-09-29,Steph,13.5,25,1347,30.9,continuous,30,20,2,40,E #1,
180,9523,2014-09-29_Conch 6A,Conch 6A,2014-09-29,Steph,13.3,25,1406,30.7,continuous,30,20,2,40,E #2,
180,9858,2014-09-29_Conch 6A,Conch 6A,2014-09-29,LA,45,60,1405,86,Continuous,,20,2,40,NE,
180,9859,2014-09-29_Conch 6A,Conch 6A,2014-09-29,LA,43,60,1348,86,Continuous,,20,2,40,SE,
182,9856,2014-09-29_KL-P2,KL-P2,2014-09-29,LA,16,12,1532,86,Patch,,8,2,16,NE,
182,9857,2014-09-29_KL-P2,KL-P2,2014-09-29,LA,15,12,1523,86,Patch,,8,2,16,SE,
182,9558,2014-09-29_KL-P2,KL-P2,2014-09-29,Steph,5.4,5,1523,31.4,patch,30,8,2,16,offshore W#1,
182,9559,2014-09-29_KL-P2,KL-P2,2014-09-29,Steph,5.2,5,1529,30.6,patch,30,8,2,16,off E#2,
185,9914,2015-03-16_BISC-P12a,BISC-P12a,2015-03-16,LA,16,20,1540,77,Patch,,12,2,24,SE,
185,9915,2015-03-16_BISC-P12a,BISC-P12a,2015-03-16,LA,10,20,1605,77,Patch,,12,2,24,NE,
185,9578,2015-03-16_BISC-P12a,BISC-P12a,2015-03-16,Steph,4.2,6,1540,27.2,patch,30,12,2,24,Inshore #1,
185,9579,2015-03-16_BISC-P12a,BISC-P12a,2015-03-16,Steph,2.9,6,1550,27.3,patch,30,12,2,24,Inshore #2,
186,9912,2015-03-16_BISC-P13a,BISC-P13a,2015-03-16,LA,21,30,1421,77,Patch,,25,2,50,SE,
186,9913,2015-03-16_BISC-P13a,BISC-P13a,2015-03-16,LA,8,30,1437,77,Patch,,25,2,50,NE,
186,9576,2015-03-16_BISC-P13a,BISC-P13a,2015-03-16,Steph,4.5,12,1421,26.3,patch,30,25,2,50,Inshore #1,
186,9577,2015-03-16_BISC-P13a,BISC-P13a,2015-03-16,Steph,5,15,1439,26.4,patch,30,25,2,50,Inshore #2,
187,9900,2015-03-16_BISC-W13,BISC-W13,2015-03-16,LA,56,40,1032,75,Continuous,,20,2,40,NE,
187,9901,2015-03-16_BISC-W13,BISC-W13,2015-03-16,LA,57,40,1050,75,Continuous,,20,2,40,SE,
187,9572,2015-03-16_BISC-W13,BISC-W13,2015-03-16,Steph,16.4,20,1033,25.1,continuous,30,20,2,40,shallow #1,
187,9573,2015-03-16_BISC-W13,BISC-W13,2015-03-16,Steph,16.1,20,1047,25.1,continuous,30,20,2,40,Shallow #2,
188,9910,2015-03-16_BISC-W60-4b,BISC-W60-4b,2015-03-16,LA,50,45,1240,75,Continuous,,20,2,40,NW,
188,9911,2015-03-16_BISC-W60-4b,BISC-W60-4b,2015-03-16,LA,51,45,1255,75,Continuous,,20,2,40,SW,
188,9574,2015-03-16_BISC-W60-4b,BISC-W60-4b,2015-03-16,Steph,16,15,1241,25,continuous,5,20,2,40,deep #1,
188,9575,2015-03-16_BISC-W60-4b,BISC-W60-4b,2015-03-16,Steph,16.3,15,1254,25.3,continuous,5,20,2,40,deep #2,
189,9918,2015-03-17_KL-W2,KL-W2,2015-03-17,LA,50,60,1604,75,Continuous,,20,2,40,NE,
189,9919,2015-03-17_KL-W2,KL-W2,2015-03-17,LA,51,60,1621,75,Continuous,,20,2,40,SE,
189,9614,2015-03-17_KL-W2,KL-W2,2015-03-17,Steph,12.9,30,1609,25.4,continuous,30,20,2,40,Shallow N #1,
